club_a_slug,club_a,club_b_slug,club_b,player,normalized_player,player_qid,player_api_football_id,accepted_answers
koln,1. FC Köln,aik,AIK,Derek Boateng,derek boateng,Q299542,,derek boateng;derek owusu boateng
koln,1. FC Köln,aik,AIK,Nebiyou Perry,nebiyou perry,Q66767148,,nebiyou perry
koln,1. FC Köln,al-ahly,Al Ahly,Anthony Modeste,anthony modeste,Q573640,,anthony modeste;anthony stephane bernard modeste
koln,1. FC Köln,auxerre,Auxerre,Gideon Mensah,gideon mensah,Q25939340,,gideon mensah
koln,1. FC Köln,auxerre,Auxerre,Lilian Laslandes,lilian laslandes,Q956723,,lilian laslandes
koln,1. FC Köln,auxerre,Auxerre,Serhou Guirassy,serhou guirassy,Q18637429,,serhou guirassy;serhou yadaly guirassy
koln,1. FC Köln,auxerre,Auxerre,Tomasz Kłos,tomasz klos,Q972461,,tomasz klos
koln,1. FC Köln,bastia,Bastia,Anthony Modeste,anthony modeste,Q573640,,anthony modeste;anthony stephane bernard modeste
koln,1. FC Köln,bastia,Bastia,Bernt Haas,bernt haas,Q635027,,bernt haas
koln,1. FC Köln,bastia,Bastia,Horacio Neumann,horacio neumann,Q281612,,horacio neumann;ricardo horacio neumann
koln,1. FC Köln,bastia,Bastia,Lilian Laslandes,lilian laslandes,Q956723,,lilian laslandes
koln,1. FC Köln,cska-moskova,CSKA Moskova,Zoran Tošić,zoran tosic,Q211596,,zoran tosic
koln,1. FC Köln,club-america,Club América,Jorge Meré,jorge mere,Q19796920,,jorge mere;jorge mere perez
koln,1. FC Köln,augsburg,FC Augsburg,Alfons Higl,alfons higl,Q2644374,,alfons higl
koln,1. FC Köln,augsburg,FC Augsburg,Andrew Sinkala,andrew sinkala,Q507479,,andrew mutambo sinkala;andrew sinkala
koln,1. FC Köln,augsburg,FC Augsburg,Bernd Schuster,bernd schuster,Q44389,,bernd schuster
koln,1. FC Köln,augsburg,FC Augsburg,Calvin Brackelmann,calvin brackelmann,Q114406918,,calvin brackelmann;calvin marc brackelmann
koln,1. FC Köln,augsburg,FC Augsburg,Christian Müller,christian muller,Q1081201,,christian muller
koln,1. FC Köln,augsburg,FC Augsburg,Elvis Rexhbeçaj,elvis rexhbecaj,Q47510195,,elvis rexhbecaj
koln,1. FC Köln,augsburg,FC Augsburg,Felipe Chávez,felipe chavez,Q121841651,,felipe chavez;felipe marlon chavez somocursio
koln,1. FC Köln,augsburg,FC Augsburg,Francis Kioyo,francis kioyo,Q88215,,francis adissa kioyo;francis kioyo
koln,1. FC Köln,augsburg,FC Augsburg,Imre Szabics,imre szabics,Q600599,,imre szabics
koln,1. FC Köln,augsburg,FC Augsburg,Jens Hegeler,jens hegeler,Q571241,,jens hegeler
koln,1. FC Köln,augsburg,FC Augsburg,Jörg Reeb,jorg reeb,Q877238,,jorg reeb
koln,1. FC Köln,augsburg,FC Augsburg,Karsten Hutwelker,karsten hutwelker,Q1711285,,karsten hutwelker
koln,1. FC Köln,augsburg,FC Augsburg,Kevin Vogt,kevin vogt,Q573312,,kevin vogt
koln,1. FC Köln,augsburg,FC Augsburg,Lukas Sinkiewicz,lukas sinkiewicz,Q593480,,lukas sinkiewicz
koln,1. FC Köln,augsburg,FC Augsburg,Marius Wolf,marius wolf,Q18342471,,marius wolf
koln,1. FC Köln,augsburg,FC Augsburg,Markus Feulner,markus feulner,Q545001,,markus feulner
koln,1. FC Köln,augsburg,FC Augsburg,Michael Rösele,michael rosele,Q1272876,,michael rosele
koln,1. FC Köln,augsburg,FC Augsburg,Philipp Pentke,philipp pentke,Q2087098,,philipp pentke
koln,1. FC Köln,augsburg,FC Augsburg,Roland Benschneider,roland benschneider,Q1586181,,roland benschneider
koln,1. FC Köln,augsburg,FC Augsburg,Sven Müller,sven muller,Q876468,,sven muller;sven tobias muller
koln,1. FC Köln,augsburg,FC Augsburg,Tobias Strobl,tobias strobl,Q2438006,,tobias strobl
koln,1. FC Köln,hertha-bsc,Hertha BSC,Andriy Voronin,andriy voronin,Q215425,,andriy viktorovych voronin;andriy voronin
koln,1. FC Köln,hertha-bsc,Hertha BSC,Armin Görtz,armin gortz,Q535141,,armin gortz
koln,1. FC Köln,hertha-bsc,Hertha BSC,Carl-Heinz Rühl,carl heinz ruhl,Q463950,,carl heinz ruhl
koln,1. FC Köln,hertha-bsc,Hertha BSC,Christian Lell,christian lell,Q157839,,christian lell
koln,1. FC Köln,hertha-bsc,Hertha BSC,Christian Müller,christian muller,Q1081201,,christian muller
koln,1. FC Köln,hertha-bsc,Hertha BSC,Christopher Schorch,christopher schorch,Q708050,,christopher schorch
koln,1. FC Köln,hertha-bsc,Hertha BSC,Claus-Dieter Wollitz,claus dieter wollitz,Q1098383,,claus dieter wollitz
koln,1. FC Köln,hertha-bsc,Hertha BSC,Davie Selke,davie selke,Q15177921,,davie selke
