club_a_slug,club_a,club_b_slug,club_b,player,normalized_player,player_qid,player_api_football_id,accepted_answers
ac-milan,AC Milan,aek-athens,AEK Athens,Dídac Vilà,didac vila,Q316467,,didac vila;didac vila rossello
ac-milan,AC Milan,aek-athens,AEK Athens,Emerson,emerson,Q215952,,emerson;emerson barbosa rodrigues dos santos;emerson da conceicao;emerson da luz;emerson dos santos da luz;emerson ferreira da rosa;emerson luiz firmino;emerson moises costa
ac-milan,AC Milan,aek-athens,AEK Athens,Júlio César,julio cesar,Q603190,,julio cesar;julio cesar antonio de souza;julio cesar da silva;julio cesar da silva e souza;julio cesar da silva rodriguez;julio cesar jacobi;julio cesar mendes moreira;julio cesar santos correa;julio cesar soares de espindola
ac-milan,AC Milan,aek-athens,AEK Athens,Leonardo,leonardo,Q46741,,jose leonardo ribeiro da silva;leonardo;leonardo araujo;leonardo da silva souza;leonardo de vitor santiago;leonardo dos santos silva;leonardo jose aparecido moura;leonardo nascimento de araujo;leonardo nascimento lopes de souza;leonardo pereira da silva;leonardo rodrigues perreira
ac-milan,AC Milan,aek-athens,AEK Athens,Luka Jović,luka jovic,Q16979983,,luka jovic
ac-milan,AC Milan,aek-athens,AEK Athens,Rivaldo,rivaldo,Q483577,,rivaldo;rivaldo barbosa de souza;rivaldo vitor borba ferreira
ac-milan,AC Milan,aek-athens,AEK Athens,Sokratis Papastathopoulos,sokratis papastathopoulos,Q192923,,sokratis papastathopoulos
ac-milan,AC Milan,az-alkmaar,AZ Alkmaar,Albert Guðmundsson,albert gudmundsson,Q21171299,,albert gudmundsson;albert sigurdur gudmundsson
ac-milan,AC Milan,az-alkmaar,AZ Alkmaar,Milos Kerkez,milos kerkez,Q110874376,,milos kerkez
ac-milan,AC Milan,az-alkmaar,AZ Alkmaar,Tijjani Reijnders,tijjani reijnders,Q39500352,,tijjani martinus jan reijnders;tijjani reijnders
ac-milan,AC Milan,aberdeen,Aberdeen,Marko Lazetić,marko lazetic,Q102566182,,marko lazetic
ac-milan,AC Milan,aberdeen,Aberdeen,Patrizio Billio,patrizio billio,Q1444875,,patrizio billio
ac-milan,AC Milan,adana-demirspor,Adana Demirspor,Júlio César,julio cesar,Q603190,,julio cesar;julio cesar antonio de souza;julio cesar da silva;julio cesar da silva e souza;julio cesar da silva rodriguez;julio cesar jacobi;julio cesar mendes moreira;julio cesar santos correa;julio cesar soares de espindola
ac-milan,AC Milan,adana-demirspor,Adana Demirspor,M'Baye Niang,m baye niang,Q26522,,m baye hamady niang;m baye niang
ac-milan,AC Milan,adana-demirspor,Adana Demirspor,Mario Balotelli,mario balotelli,DEMO-068-mario-balotelli,,mario balotelli;mario balotelli barwuah
ac-milan,AC Milan,adana-demirspor,Adana Demirspor,Mario Balotelli,mario balotelli,Q129700,,mario balotelli
ac-milan,AC Milan,ajax,Ajax,Bojan Krkić,bojan krkic,Q179172,,bojan krkic;bojan krkic perez
ac-milan,AC Milan,ajax,Ajax,Brian Laudrup,brian laudrup,Q212854,,brian laudrup
ac-milan,AC Milan,ajax,Ajax,Chedric Seedorf,chedric seedorf,Q1650766,,chedric seedorf
ac-milan,AC Milan,ajax,Ajax,Clarence Seedorf,clarence seedorf,DEMO-095-clarence-seedorf,,clarence clyde seedorf;clarence seedorf
